mjd,fid,magpsf,sigmapsf,ra,dec,isdiffpos,transient_type
58278.40712960018,1,16.692076,0.025775228,307.7926362,51.1349425,-1,Supernova_Ia
58281.40368060023,1,16.631727,0.02433641,307.792558,51.1348257,-1,Supernova_Ia
58285.4131018999,2,16.3833,0.027792,307.792625,51.1344614,1,Cataclysmic_Variable
58287.40416669985,1,16.658768,0.02538189,307.7928407,51.1347464,-1,Supernova_Ia
58288.407835599966,1,16.912527,0.14630102,307.7926246,51.1350203,1,Supernova_Ia
58290.42583330022,1,16.423029,0.062128603,307.7926999,51.1348262,-1,Cataclysmic_Variable
58293.43209489994,1,16.366179,0.066560954,307.7924418,51.1349328,-1,Cataclysmic_Variable
58293.43209489994,1,16.393217,0.029617567,307.7923454,51.1349487,-1,Cataclysmic_Variable
58293.4572222,1,16.257336,0.06134531,307.7926818,51.1348149,-1,Cataclysmic_Variable
58302.38224539999,2,15.82,0.027678,307.7924513,51.1346522,-1,Supernova_Ia
58305.44770829985,1,16.442236,0.07907168,307.7923873,51.1348547,-1,Cataclysmic_Variable
58305.45109950006,1,16.541286,0.036016885,307.7922732,51.1349417,-1,Supernova_Ia
58310.40729170013,2,15.765014,0.026854962,307.792462,51.1347664,-1,Supernova_Ia
58311.364687500056,1,16.3859,0.24064,307.7923931,51.1349405,-1,Cataclysmic_Variable
58320.41128470004,1,16.4029,0.038686,307.7930747,51.1345424,-1,Cataclysmic_Variable
58323.42550930008,1,16.399015,0.11025068,307.7926077,51.1347221,-1,Cataclysmic_Variable
58323.43260420021,1,16.24996,0.19709784,307.7924309,51.1348279,-1,Cataclysmic_Variable
58363.30224539992,1,17.0799,0.146261,307.7922319,51.1347002,-1,Supernova_Ia
58363.3037963002,1,17.172,0.288668,307.7926715,51.1352186,-1,TDE
58370.23767360021,1,17.024801,0.054242995,307.7923748,51.1350443,-1,Supernova_Ia
58379.32575230021,1,16.795435,0.10152058,307.7924586,51.1348821,-1,AGN_Flare
58379.32575230021,1,16.830029,0.046899404,307.7924406,51.1348913,-1,AGN_Flare
58379.32620370016,1,16.949142,0.18037468,307.7923661,51.1347312,-1,TDE
58381.23252309999,1,16.94024,0.14387478,307.7923331,51.134769,1,AGN_Flare
58385.145370400045,1,16.47701,0.13462245,307.7922504,51.1350689,-1,Supernova_Ia
58388.13129629986,1,16.90226,0.108890474,307.7923045,51.1347549,-1,AGN_Flare
58389.150891200174,1,16.58562,0.036333673,307.7923446,51.1350016,-1,AGN_Flare
58432.18113429984,1,16.779005,0.17199057,307.7921599,51.1350192,-1,AGN_Flare
58436.1509606,1,16.99016,0.06703555,307.7923262,51.1351728,-1,AGN_Flare
58482.11747690011,1,16.267857,0.098917454,307.7925368,51.1348144,1,Supernova_Ia
58581.48862269986,1,17.042524,0.19021825,307.7923966,51.1347901,-1,TDE
58584.490590299945,1,16.6333,0.121545,307.7923799,51.1346834,-1,AGN_Flare
58584.516319400165,2,15.981282,0.13425347,307.7925955,51.1349528,-1,Kilonova
58587.49304400012,1,16.504276,0.11941936,307.7925973,51.1349813,-1,AGN_Flare
58587.51513889991,2,15.465867,0.11018963,307.7925106,51.1349342,-1,Supernova_Ia
58587.51561339991,2,15.947927,0.09981088,307.7925196,51.1349049,-1,Kilonova
58589.4261690001,1,16.026545,0.08478845,307.792471,51.134823,-1,Kilonova
58591.474386599846,2,15.848557,0.13681084,307.7925349,51.1349381,-1,Kilonova
58593.427824100014,2,15.601943,0.06096895,307.7924902,51.134875,-1,Supernova_Ia
58593.48759259982,1,16.095879,0.05979198,307.7924445,51.1348435,-1,Supernova_Ia
58593.50539349997,1,16.18487,0.06860455,307.7922327,51.1350176,-1,Supernova_Ia
58605.42857640004,2,15.622355,0.16488062,307.7925988,51.1349795,-1,Kilonova
58605.49494209979,1,16.689,0.096192,307.7926723,51.134693,-1,AGN_Flare
58607.43025460001,1,16.640825,0.1805711,307.7922393,51.1349685,-1,AGN_Flare
58607.43070599996,1,16.749304,0.08657129,307.7924043,51.1348459,-1,AGN_Flare
58608.45314810006,1,16.076925,0.065877326,307.7925162,51.1349099,-1,Supernova_Ia
58608.4535995,1,16.325224,0.0309584,307.7923064,51.1350265,-1,Supernova_Ia
58608.4535995,1,16.256933,0.09161752,307.792334,51.1349327,-1,Kilonova
58612.41108800005,1,16.738531,0.11242802,307.7923293,51.1349539,-1,AGN_Flare
58617.47428240022,1,16.745039,0.041932013,307.7923337,51.1349717,-1,AGN_Flare
58618.323356499895,2,14.714948,0.08218175,307.7925969,51.1348893,-1,Supernova_Ia
