oid,mjd,fid,ra,dec,isdiffpos,mag_used,err_used
ZTF18aajtltx,58252.4361343002,1,274.3822374,58.4936383,-1,19.37839,0.104995
ZTF18aajtltx,58252.44321760023,1,274.382248,58.493561,-1,19.37839,0.133612
ZTF18aajtltx,58252.49115739996,2,274.3822503,58.493683,-1,19.1251,0.137872
ZTF18aajtltx,58261.45373839978,1,274.3822408,58.493638,-1,19.37839,0.143248
ZTF18aajtltx,58272.39137730002,1,274.3824117,58.4935857,-1,19.37839,0.17849453
ZTF18aajtltx,58272.41069439985,1,274.3823436,58.49368,-1,19.37839,0.17951302
ZTF18aajtltx,58272.47103009978,2,274.3823653,58.4936765,-1,19.242645,0.119545594
ZTF18aajtltx,58281.3660300998,2,274.3825061,58.4936517,-1,19.327148,0.09284777
ZTF18aajtltx,58281.36649309984,2,274.3822559,58.4936857,-1,19.141138,0.09548953
ZTF18aajtltx,58281.38947919989,1,274.3822566,58.4936654,-1,19.37839,0.13888706
ZTF18aajtltx,58281.39224540023,1,274.3822885,58.4937677,-1,19.37839,0.11126545
ZTF18aajtltx,58281.392696800176,1,274.382462,58.4936775,-1,19.37839,0.12807797
ZTF18aajtltx,58284.385555599816,1,274.3823001,58.4938022,-1,19.37839,0.16773999
ZTF18aajtltx,58288.323356499895,2,274.382366,58.4936915,-1,19.231499,0.1572106
ZTF18aajtltx,58288.3915161998,1,274.3822376,58.4936888,-1,19.37839,0.1380476
ZTF18aajtltx,58290.35929400008,2,274.3823937,58.4937104,-1,18.929344,0.14295582
ZTF18aajtltx,58290.36208330002,2,274.3822445,58.4936802,-1,19.37839,0.19726081
ZTF18aajtltx,58290.410786999855,1,274.3822756,58.4936385,-1,19.37839,0.17449148
ZTF18aajtltx,58290.41217589984,1,274.3826244,58.4936242,-1,19.37839,0.17949626
ZTF18aajtltx,58299.19731480023,1,274.3822212,58.4935592,-1,19.37839,0.219022
ZTF18aajtltx,58299.36800929997,2,274.3825014,58.4933239,-1,19.3435,0.179317
ZTF18aajtltx,58299.39018520014,2,274.3822615,58.4934943,-1,18.743546,0.17461008
ZTF18aajtltx,58305.32350690011,1,274.3823844,58.4936742,-1,19.37839,0.2305998500000009
ZTF18aajtltx,58306.32877309993,1,274.3823548,58.4936968,-1,19.37839,0.15898189
ZTF18aajtltx,58308.22045140015,1,274.3822253,58.4937077,-1,19.37839,0.16651124
ZTF18aajtltx,58310.34498840012,1,274.3822797,58.4936104,-1,19.37839,0.1420662
ZTF18aajtltx,58310.39399310015,2,274.382358,58.4935777,-1,18.768204,0.13981292
ZTF18aajtltx,58311.34836809989,1,274.3824701,58.4936676,-1,19.37839,0.21594357
ZTF18aajtltx,58313.32671299996,1,274.3822691,58.4937136,-1,19.37839,0.088442124
ZTF18aajtltx,58317.34478010005,1,274.3822363,58.493512,-1,19.37839,0.15365393
ZTF18aajtltx,58319.36637730012,1,274.3825061,58.4937075,-1,19.37839,0.15748937
ZTF18aajtltx,58322.22346059978,1,274.3822482,58.4936679,-1,19.37839,0.187929
ZTF18aajtltx,58322.384756899904,2,274.3821334,58.4937355,-1,19.067467,0.14036213
ZTF18aajtltx,58329.183854199946,1,274.3825608,58.4932516,-1,19.3669,0.228271
ZTF18aajtltx,58331.22047450021,2,274.3824649,58.4936772,-1,18.741985,0.118063726
ZTF18aajtltx,58331.305659700185,1,274.3823242,58.4937108,-1,19.37839,0.17364927
ZTF18aajtltx,58332.224976900034,1,274.3823811,58.4934483,-1,19.37839,0.2305998500000009
ZTF18aajtltx,58337.331168999895,2,274.3823392,58.4937092,-1,18.707594,0.108945
ZTF18aajtltx,58337.36546299979,1,274.3823286,58.4937013,-1,19.305038,0.12731664
ZTF18aajtltx,58338.17818289995,1,274.3822,58.4935204,-1,19.37839,0.20028594
ZTF18aajtltx,58338.19709490007,2,274.3822085,58.4936671,-1,18.7893,0.202206
ZTF18aajtltx,58342.332291699946,2,274.3822866,58.493575,-1,18.815971,0.11802194
ZTF18aajtltx,58343.31039350014,1,274.3820373,58.4935969,-1,19.37839,0.2305998500000009
ZTF18aajtltx,58345.18460649997,1,274.3822656,58.4935829,-1,19.37839,0.2305998500000009
ZTF18aajtltx,58346.32623839984,1,274.3822656,58.493687,-1,19.37839,0.1757515
ZTF18aajtltx,58346.32763889991,1,274.382283,58.4936449,-1,19.37839,0.2305998500000009
ZTF18aajtltx,58348.3427893999,1,274.3823424,58.4934355,-1,19.37839,0.196404
ZTF18aajtltx,58349.220891200006,1,274.3822967,58.4936178,-1,19.37839,0.17379814
ZTF18aajtltx,58349.28402779997,2,274.3821323,58.4936389,-1,19.006182,0.13601677
ZTF18aajtltx,58349.28402779997,2,274.3824063,58.4936832,-1,19.107973,0.19790427
ZTF18aajtltx,58351.19385420019,2,274.3823938,58.4936938,-1,18.765015,0.13424914
ZTF18aajtltx,58355.26129630022,2,274.3822676,58.4936876,-1,18.838875,0.17306079
ZTF18aajtltx,58355.26555560017,2,274.3820613,58.4936969,-1,19.118444,0.1991928
ZTF18aajtltx,58357.19686339982,2,274.3822156,58.4936505,-1,18.7826,0.20975159
ZTF18aajtltx,58357.275636599865,2,274.38238,58.4936143,-1,18.693995,0.14521316
ZTF18aajtltx,58360.22936340002,2,274.3821213,58.4936462,-1,18.53885,0.19433813
ZTF18aajtltx,58364.15053239977,2,274.382241,58.4937478,-1,18.92011,0.14089847
ZTF18aajtltx,58364.17922449997,2,274.3823105,58.4937216,-1,19.111158,0.1637337
ZTF18aajtltx,58364.22028939985,1,274.3823903,58.4935483,-1,19.37839,0.18835469
ZTF18aajtltx,58364.22307869978,1,274.3822442,58.4936837,-1,19.37839,0.12592264
ZTF18aajtltx,58366.20211810013,1,274.382155,58.4935741,-1,19.37839,0.17422393
ZTF18aajtltx,58367.26590280002,1,274.3823405,58.49367,-1,19.37839,0.19149789
